ccode,year,styear,endyear,lqgia,qgia,qgig,lqgia1,qgia1,qgig1,pcig,pci,infla,loda,oda,lremit,remit,ltrade,trade,popg,lxrate,xrate,lforce,pop,linvest,invest,gfcf,mob,aidi,rents,fdif,lfdis,fdis,lgexped,gexped,lgexhpc,gexhpc,lgexhgdp,gexhgdp,gexhpcp,exexph,va,psavt,ge,rq,rl,cc,lgpva,gpva,govg,dcred,lfd,fd,fi,fm,fid,fia,fie,fmd,fma,fme,ldepen,depen,ldepen_old,depen_old,ldepen_young,depen_young,time,sinfla,cname,cticker
1,1999,1995,1999,-1.0730137,.34197634,.13554113,-.84362888,.43014672,.29976961,1.7780807,2928.3796,13.46523,-.45102105,.63697743,.74957132,2.1160927,3.9402747,51.432724,1.6390842,4.0445652,57.086369,8245706,29716668,3.2865944,26.7516,25.421217,.081904426,28.175543,16.100279,9.5160456,4.3632245,78.509872,1.4671874,4.3370199,3.7913606,44.316654,.92061251,2.5108278,204.96344,.14863697,.63299149,.50646305,.64860356,.62071121,.59704429,.65642035,-.49368617,.6103723,.60798204,4.8847237,-2.1912875,.11177275,.21163179,.0085085947,.03131168,.073093593,.65564519,.01889289,.0044245808,0,4.2659769,71.234459,1.8699664,6.4880786,4.1704779,64.746384,1 1995:1999,2.6001108,Algeria,DZA
1,2004,2000,2004,-.97206801,.37829989,.15130369,-.74192005,.4761987,.32335579,3.4193375,3330.8916,8.8206797,-.99153626,.37100628,.69438356,2.0024743,4.1288261,62.10498,1.3074092,4.3349671,76.322464,9324450,31861034,3.3649621,28.9324,23.238859,4.2855077,28.170469,23.325689,24.935694,5.1175985,166.93398,1.4671874,4.3370199,3.9866407,53.873611,.99583089,2.7069726,246.29539,.15865292,.66109169,.55362731,.68782848,.65523833,.65084541,.63632011,-.44499853,.64082521,.63904136,9.6799612,-2.151444,.11631608,.22273459,.0063540642,.039369799,.066132247,.69748133,.013518302,.0040010628,0,4.0607262,58.016418,1.9565533,7.0749002,3.9306784,50.941521,2 2000:2004,2.177099,Algeria,DZA
1,2009,2005,2009,-.89493364,.40863472,.21264811,-1.0096567,.36434403,.36434403,1.412963,3809.6018,7.4432716,-1.3633083,.25581306,-2.1719942,.11395016,4.2820835,72.391113,1.5541451,4.2554584,70.489105,10396880,34204436,3.5863981,36.103802,27.865915,70.952293,30.994141,31.620558,59.091461,5.8866606,360.20038,1.5970592,4.938488,4.7033119,110.3119,1.0318117,2.8061452,332.51144,.23618938,.67802858,.6214174,.71996862,.64359927,.66635531,.67860645,-.4034732,.66799593,.66717184,13.21959,-2.1125486,.12092938,.23188165,.006293064,.048285931,.071031421,.71054405,.013355972,.0040010628,0,3.9098263,49.890282,1.9681405,7.1573548,3.7549696,42.732925,3 2005:2009,2.0073104,Algeria,DZA
1,2014,2010,2014,-.81135964,.44425362,.30641636,-.64515561,.5245809,.40547904,1.3201805,4008.5461,8.282486,-2.3631544,.094122857,-1.156397,.31461772,4.1859236,65.754211,1.9352136,4.3433046,76.961449,11498068,37417324,3.7261126,41.517399,33.950451,100.69894,43.249912,27.86628,51.532688,6.4399462,626.37299,1.9939326,7.3443599,5.3952789,220.36365,1.4185048,4.1309395,558.71106,.20364437,.67782182,.59414023,.72404981,.56474143,.66446215,.68134212,-.42910287,.65109295,.64870566,15.559867,-2.0608957,.12733987,.24803525,.0027651519,.054234769,.086288929,.73867518,.003967715,.0040010628,0,3.9107113,49.934452,2.0122118,7.4798422,3.7484355,42.454609,4 2010:2014,2.1141431,Algeria,DZA
1,2019,2015,2019,-.70531583,.49395254,.37167341,-.57118458,.56485593,.45308754,.0025297811,4172.7778,1.5277698,-2.4550271,.085860863,.1265818,1.1349423,4.0284438,56.173428,2.0166032,4.7132258,111.41097,12365477,41390012,3.8851573,48.674599,40.991089,110.55116,54.658073,15.419422,24.445148,6.5562,703.5929,1.8919308,6.6321621,5.1806908,177.8056,1.471808,4.3571057,660.685,.26513585,.67677021,.63724494,.7214942,.56523621,.65459365,.66436225,-.42574403,.65328354,.65145612,23.943739,-2.0279162,.1316095,.25754026,.001669309,.07217411,.098498076,.72621447,.001051529,.0040010628,0,4.0229359,55.864864,2.1659148,8.7225771,3.8531704,47.142288,5 2015:2019,.42380902,Algeria,DZA
3,1999,1995,1999,-1.4443389,.23590198,.059789527,-1.2752728,.27935472,.14050052,1.8983239,850.75104,15.849681,2.2972543,9.9468346,1.2190409,3.3839407,4.070786,58.602997,3.0755656,6.3278637,559.95905,2490380.3,6283169,2.7429023,15.532,17.693907,.067360349,8.2520494,7.216414,3.3400543,2.2477145,9.4660759,.94883537,2.5827,1.4201194,4.1376143,-.21434973,.80706608,14.626756,9.3809996,.88659275,.94330335,.75606751,.7227062,.79212779,.67879587,-.22740397,.79659891,.7913416,7.0753732,-2.2617393,.10416915,.19992691,.0052379258,.026375376,.0097175445,.72324711,.013938835,0,0,4.5552659,95.132042,1.8822809,6.56847,4.4837208,88.563576,1 1995:1999,2.7631493,Benin,BEN
3,2004,2000,2004,-1.3928033,.24837804,.049646314,-1.2016079,.30071029,.15083227,1.6264989,933.93134,2.7393939,1.8571852,6.4056811,.53943223,1.7150328,3.7882402,44.178589,3.0191605,6.474987,648.71088,2894551.5,7301726.5,2.7597315,15.7956,17.666355,2.9280412,8.3081226,3.4581807,6.1870923,3.3688843,29.046104,.83189207,2.297662,1.5554067,4.7370124,-.25974345,.77124941,14.956972,11.126564,.8695417,.90292865,.76003861,.69527173,.73969054,.68223304,-.2549558,.77495074,.77045161,6.6412911,-2.3370817,.096609168,.1862195,.004055677,.030696405,.012761936,.65745604,.01079271,0,0,4.530396,92.795319,1.8309859,6.2400355,4.4607835,86.555283,2 2000:2004,1.0077367,Benin,BEN
3,2009,2005,2009,-1.350606,.25908321,.064560585,-1.6616292,.18982945,.18982945,.83887178,974.8924,3.1503956,1.8047446,6.0784187,.82320654,2.277792,3.7862892,44.09248,2.867388,6.1922035,488.92224,3375775.5,8459107,2.6382284,13.9884,15.734112,28.508644,8.9439487,3.4223676,15.570031,4.1034956,60.551579,.98953676,2.6899881,1.8565229,6.4014397,-.41294208,.66170061,15.169016,14.847221,.8785553,.86461574,.71611243,.67572463,.69732034,.66992188,-.28718215,.75037503,.74543542,11.917768,-2.2883377,.10143493,.19471653,.0050631659,.042386129,.029714961,.64339823,.013473774,0,0,4.5028791,90.276665,1.7999499,6.0493445,4.4335194,84.227318,3 2005:2009,1.1475281,Benin,BEN
3,2014,2010,2014,-1.2583963,.28410929,.071185365,-1.0283746,.35758772,.22292176,1.8011985,1025.2833,2.6924784,1.7224141,5.5980268,.61189604,1.8439243,4.0031538,54.770618,2.7960536,6.2002072,492.85123,3893921.3,9736154,2.8386691,17.093,18.885256,85.164558,12.464346,3.6075525,28.129354,4.7130752,111.39418,1.2880843,3.625834,2.1294985,8.4106483,-.32654768,.72140998,18.868065,22.523056,.86653632,.83642358,.72360134,.68541038,.69109368,.65467721,-.29711702,.74295706,.73870522,16.249565,-2.2253914,.10802512,.20652202,.0062372829,.050141893,.052517597,.63900989,.016598258,0,0,4.477284,87.995354,1.7877035,5.9757133,4.4069586,82.019646,4 2010:2014,.99046212,Benin,BEN
3,2019,2015,2019,-1.1838182,.30610773,.071586698,-.94930285,.38701072,.24030647,2.0296099,1125.788,.28786004,1.4748707,4.3704705,.49499893,1.6404965,4.103456,60.549179,2.7466352,6.3650508,581.17426,4541143,11181882,3.1526163,23.3972,22.947184,83.697624,15.938189,3.477263,15.929572,5.1978607,180.88486,1.1318433,3.101368,1.916748,6.7988133,-.52567339,.59115714,18.483622,23.8573,.87883598,.77877361,.71607351,.67849833,.68704134,.69027686,-.30347282,.73824996,.73486376,17.033308,-2.2231379,.10826883,.20676479,.0064745261,.052507848,.061026204,.62194413,.017229596,0,0,4.4404631,84.814224,1.737098,5.6808338,4.3711348,79.133392,5 2015:2019,-.71213996,Benin,BEN
